cas_number,name,english_name,brand,specification,initial_quantity,unit,quantity,price,order_reason,applicant,order_time
10521-91-2,5-苯基-1-戊醇,5-Phenyl-1-pentanol,凯国科技,1g,1,g,1,38,running_out,dairongheng,
95408-45-0,"二氯[1,1'-双(耳叔丁基膦)二茂铁钯(II)",,毕得,1g,1,g,1,37.5,not_stocked,xuguofeng,
91-60-1,2-萘硫酚,2-Naphthalenethiol,百灵威,5g,5,g,1,37.5,running_out,dairongheng,
13047-06-8,,,,,,,1,37.4,not_stocked,admin,
5570-19-4,2-硝基苯硼酸,"
2-Nitrophenylboronic acid",毕得,20g,20,g,1,37,running_out,wangyachong,
60669-69-4,三氟甲磺酸二丁硼 溶液,Dibutylboryl trifluoromethanesulfonate solution,麦克林,,,,1,36.75,not_stocked,chengzengrui,
72804-96-7,二苯基膦酰羟胺,O-Diphenylphosphinylhydroxylamine,"	毕得医药",20g,20,g,1,36.75,running_out,qiuxu,
9072-19-9,岩藻多糖,Fucoidan,Solarbio索莱宝,100 mg,100,mg,1,36.1,not_stocked,zhangcaifang,
105-36-2,溴乙酸乙酯, ,虹湖联合,500g,500,g,1,36,running_out,xuguofeng,
130365-87-6,4-(三氟甲基)苯乙基溴,2-(4-Trifluoromethylphenyl)ethyl  bromide,毕得,1g,1,g,1,36,not_stocked,huotongyu,
25150-61-2,吡咯盐酸盐,Pyrrolidine Hydrochloride,麦克林,1g,1,g,1,35.25,not_stocked,tanhui,
132813-14-0,"	2-氯-4-(4-氟苯基)-5,6,7,8,9,10-六氢环辛烷并[b]吡啶","	2-Chloro-4-(4-fluorophenyl)-5,6,7,8,9,10-hexahydrocycloocta[b]pyridine","	毕得",250mg,250,mg,1,35.2,running_out,dairongheng,
60748-47-2,三(二亚苄基丙酮)二钯 ,Tris(dibenzylideneacetone)dipalladium,,1g,1,g,1,35.15,running_out,zhangcaifang,
72804-96-7,二苯基膦酰羟胺,O-DIPHENYLPHOSPHINYLHYDROXYLAMINE,毕得,25g,25,g,1,35.1,running_out,wangyachong,
2162-31-4,2-((四氢-2H-吡喃-2-基)氧基)乙醇,"	2-((Tetrahydro-2H-pyran-2-yl)oxy)ethanol",毕得医药,1g,1,g,1,34,not_stocked,gengshihan,
1001067-09-9,"2-(三甲基甲硅烷基)乙基 3-硝基-1H-1,2,4-三唑-1-甲酸酯","2-(Trimethylsilyl)ethyl 3-Nitro-1H-1,2,4-triazole-1-carboxylate",毕得,1g,1,g,1,34,not_stocked,zhaoxinyi,
14425-64-0,4-(2-溴乙基)苯甲醚,4-METHOXYPHENETHYL BROMIDE,毕得,1g,1,g,1,34,not_stocked,huotongyu,
,氯化钴 六水合物,"COBALT(II) CHLORIDE HEXAHYDRATE, REAGEN",,25G,25,g,1,34,not_stocked,zhaobinzhi,
4097-88-5,"N-甲基-2,2'-二氨基二乙胺 ","2,2'-Diamino-N-methyldiethylamine",毕得,5g,5,g,1,33.75,not_stocked,qiuxu,
4436-74-2,"反式-2-丁烯-1,4-二甲酸",Hex-3-enedioic acid,毕得,5g,5,g,1,33.75,not_stocked,zhuminghui,
71-55-6,"1,1,1-三氯乙烷 ",,麦克林,500ml,500,mL,1,33.15,not_stocked,chenlei,
694499-26-8,3-三氟甲基-4-[(4-甲基哌嗪-1-基)甲基]苯胺,4-(4-Methylpiperazinomethyl)-3-(trifluoromethyl)aniline,毕得,5g,5,g,1,33,not_stocked,xuguofeng,
552846-17-0,1-Boc-吡唑-4-硼酸频哪醇酯,1-Boc-pyrazole-4-boronic acid pinacol ester,毕得,25g,25,g,1,33,running_out,huotongyu,
20017-68-9,"	1,1'-(3-溴亚丙基)二苯","	(3-Bromopropane-1,1-diyl)dibenzene","	毕得",1g,1,g,1,33,not_stocked,gengshihan,
,国产球形C18硅胶柱，SW-8222-012-SP,,三泰科技,12g,12,g,1,33,not_stocked,xuguofeng,
72054-56-9,4-(2-溴乙基)苯腈,4-(2-Bromoethyl)benzonitrile,毕得,1g,1,g,1,33,not_stocked,huotongyu,
25187-00-2,,,,,,,1,33,not_stocked,admin,
25187-00-2,(2-碘苯基)(苯基)甲酮,2-IODOBENZOPHEnot_stocked,毕得,1g,1,g,1,33,not_stocked,chengzengrui,
81-23-2,脱氢胆酸,,TCI,25g,25,g,1,32,running_out,zhaoxinyi,
106308-44-5,"	1-(2,6-二氟苄基)-1H-1,2,3-三唑-4-甲酰胺","	1-(2,6-Difluorobenzyl)-1H-1,2,3-triazole-4-carboxamide","
欣恒研",5g,5,g,1,31.5,running_out,dairongheng,
3375-31-3,乙酸钯(II),Palladium (II) Acetate,Sigma-Aldrich,1 g,1,g,1,31.5,running_out,chengzengrui,
1792-81-0,"顺式-1,2-环己二醇","	cis-1,2-Cyclohexanediol",JK,1g,1,g,1,31,running_out,lvbin,
305-03-3,4-[双(2-氯乙基)氨基]苯丁酸, 4-(4-(Bis(2-chloroethyl)amino)phenyl)butanoic acid,毕得,1g,1,g,1,30.75,not_stocked,zhuminghui,
16793-90-1,,1-(2-BROMO-ETHYL)-2-METHYL-BENZENE,毕得,1g,1,g,1,30.75,not_stocked,huotongyu,
1643-29-4,3-(4-碘苯基)丙酸,3-(4-iodophenyl)propanoic acid,迈瑞达,5g,5,g,1,30.75,not_stocked,zhuminghui,
814-68-6,丙烯酰氯(含稳定剂吩噻嗪),,TCI,25g,25,g,1,30.6,not_stocked,zhaoxinyi,
4165-96-2,3-苯基戊二酸,3-Phenylglutaric Acid,迈瑞达,5g,5,g,1,30,not_stocked,zhuminghui,
935-13-7,(2-呋喃)丙酸, 3-(2-Furyl)propanoic acid,希恩斯,5g,5,g,1,30,not_stocked,zhuminghui,
26171-23-3,1-甲基-5-对甲苯基吡咯-2-乙酸 ,1-Methyl-5-p-toluoylpyrrole-2-acetic acid,毕得,5g,5,g,1,30,not_stocked,zhuminghui,
53293-00-8,5-己炔酸,5-Hexynoic acid,毕得,5g,5,g,1,30,not_stocked,zhuminghui,
4783-65-7,1-苄基-2-哌啶酮, 1-BENZYL-2-PIPERIDONE,源叶,1g,1,g,1,30,not_stocked,zhuminghui,
81290-20-2,三氟甲基三甲基硅烷,Trimethyl(trifluoromethyl)silane,毕得,100g,100,g,1,29.75,running_out,admin,
29901-85-7,"3-庚烯酸	
","	3-Heptenoic Acid",tci,"	5ML",5,mL,1,29.6,not_stocked,zhuminghui,
,脂多糖,Lipopolysaccharides(LPS) ,Solarbio索莱宝,10 mg,10,mg,1,29.25,not_stocked,zhangcaifang,
7298-67-1,2-羟基-5-乙酰氨基苯乙酮,N1-(3-ACETYL-4-HYDROXYPHENYL)ACETAMIDE,毕得医药,25g,25,g,1,29,running_out,xuguofeng,
201733-56-4,"	联硼酸新戊二醇酯",Bis(neopentyl glycolato)diboron,百灵威,100g,100,g,1,29,running_out,admin,
128071-75-0,2-溴-3-吡啶甲醛 ,2-Bromonicotinaldehyde,毕得,25g,25,g,1,28.05,running_out,douxiaodong,
3375-31-3,醋酸钯,Palladium(II) acetate,毕得,1g,1,g,1,28,running_out,mengjunhong,
27976-27-8,"	6-溴己基苯","	(6-Bromohexyl)benzene","	毕得",1g,1,g,1,27.75,running_out,gengshihan,
4286-55-9,,,毕得,,,,1,27.75,running_out,dairongheng,
2146-61-4,3-甲氧基苯乙基溴,3-METHOXYPHENETHYL BROMIDE,毕得,1g,1,g,1,27.75,not_stocked,huotongyu,
128-13-2,熊去氧胆酸,Ursodeoxycholic acid,百灵威,5g,5,g,1,27.75,not_stocked,zhaoxinyi,
42152-44-3,三氟甲磺酸亚铜,Trifluoromethylsulfonyloxy) copper(I),毕得,5 g,5,g,1,27,not_stocked,chenlei,
15103-48-7,吡啶-2-磺酸,Pyridine-2-sulfonic acid,毕得,5g,5,g,1,27,not_stocked,lichao,
120737-78-2,N-1-Boc-2-甲基哌嗪,1-Boc-2-Methylpiperazine,凯国科技,10g,10,g,1,27,not_stocked,huotongyu,
20017-67-8,,,毕得,5g,5,g,1,27,running_out,dairongheng,
26478-16-0,2-(2-溴乙基)噻吩,"2,2-(Bromoethyl)thiophene",毕得,2g,2,g,1,27,not_stocked,huotongyu,
1643-29-4,3-(4-碘苯基)丙酸,3-(4-Iodophenyl)propanoic acid,毕得,5g,5,g,1,27,not_stocked,zhuminghui,
10472-97-6,,,毕得,1g,1,g,1,27,not_stocked,dairongheng,
935-30-8,2-氮杂环壬酮,2-Azacyclononanot_stocked,"	毕得",5g,5,g,1,27,not_stocked,zhuminghui,
869494-16-6,"6-(叔丁氧羰基)-3,6-二氮杂双环[3.1.1]庚烷","3,6-Diazabicyclo[3.1.1]heptane-6-carboxylic acid tert-butyl ester",毕得,5g,5,g,1,27,not_stocked,admin,20211215
,10%钯碳(55%的水),Palladium on activated carbon(10%)(wetted with ca. 55% Water),毕得,10g,10,g,1,27,running_out,zhaoxinyi,
673-66-5,1-氮杂环辛-2-酮,,"	毕得",25g,25,g,1,27,not_stocked,zhuminghui,
7440/5/3,10%钯碳(55%的水),Palladium on activated carbon(10%)(wetted with ca. 55% Water),毕得,10g,10,g,1,27,running_out,wangxi,
14221-01-3,四三苯基膦钯,Tetrakis(triphenylphosphine)palladium,毕得,5g,5,g,1,27,running_out,xuguofeng,
2777-65-3,10-十一碳一炔酸 ,Undec-10-ynoic acid,希恩斯,5g,5,g,1,27,not_stocked,zhuminghui,
16793-89-8,2-硝基苯乙基溴,1-(2-BROMOETHYL)-2-NITROBENZENE,毕得,1g,1,g,1,27,not_stocked,huotongyu,
924-49-2,4-氨基-3-羟基丁酸,4-Amino-3-hydroxybutyric Acid,TCI,5g,5,g,1,27,not_stocked,zhangziyao,
10343-06-3,"2R,3R,4S,5R)-2-(乙酰氧基甲基)-6-羟基四氢-2H-吡喃-3,4,5-三乙酸三酯 ","(2R,3R,4S,5R)-2-(Acetoxymethyl)-6-hydroxytetrahydro-2H-pyran-3,4,5-triyltriacetate
",毕得,5g,5,g,1,27,not_stocked,zhuminghui,
36449-75-9,2-甲氧基苯基乙基溴,2-METHOXYPHENETHYL BROMIDE,毕得,1g,1,g,1,27,not_stocked,huotongyu,
,国产球形C18硅胶柱,,渊仁信,,,,1,26.4,not_stocked,lichao,
24445-35-0,5-甲硫基噻吩-2-甲醛,5-(Methylthio)thiophene-2-carbaldehyde,百灵威,1g,1,g,1,26.4,not_stocked,sulingyu,
103260-65-7,4-甲氧基吲哚-2-羧酸,4-Methoxy-1H-indole-2-carboxylic acid,毕得医药,5g,5,g,1,26.35,not_stocked,xuguofeng,
78269-85-9,"1-[2-(三甲基甲硅烷基)乙氧基羰氧基]吡咯烷-2,5-二酮","2,5-Dioxopyrrolidin-1-yl (2-(trimethylsilyl)ethyl) carbonate",毕得,10g,10,g,1,26.25,running_out,zhaoxinyi,
,高密度聚乙烯,"Polyethylene Ultra-high molecular weight, average Mw 3,000,000-6,000,000",Sigma-Aldrich,250g,250,g,1,26.1,not_stocked,zhaobinzhi,
1997-80-4,1-(2-溴甲基)-3-(三氟甲基)苯,#NAME?,欣恒研,1g,1,g,1,26,not_stocked,huotongyu,
,低密度聚乙烯,Polyethylene,,250g,250,g,1,25.5,not_stocked,zhaobinzhi,
2430-16-2,6-苯基-1-己醇,6-Phenylhexanol,麦克林,1g,1,g,1,24.65,not_stocked,dairongheng,
87941-55-7,4-溴-1-三苯甲基-1H-咪唑,4-BROMO-1-TRITYL-1H-IMIDAZOLE,奇松生物,1g,1,g,1,24.65,not_stocked,huotongyu,
9003-07-0,聚丙烯,"Polypropylene Isotactic, average Mw ~12,000, average Mn ~5,000",Sigma-Aldrich,250g,250,g,1,24.65,not_stocked,zhaobinzhi,
434-13-9,石胆酸,"	LITHOCHOLIC ACID",毕得医药,25g,25,g,1,24.2,running_out,zhuminghui,
16799-04-5,3-硝基苯乙基溴,1-(2-Bromoethyl)-3-nitrobenzene,sigma aldrich,1g,1,g,1,24,not_stocked,huotongyu,
905808-02-8,3-氟-2-碘苯甲醛,3-FLUORO-2-IODOBENZALDEHYDE,"毕得	",1g,1,g,1,23.25,not_stocked,zhangcaifang,
79326-96-8,"	3-硝基苯磺酸一水合物","	3-Nitrobenzenesulfonicacidhydrate	",毕得,5g,5,g,1,23,running_out,gengshihan,
920-66-1,"	1,1,1,3,3,3-六氟丙-2-醇","1,1,1,3,3,3-Hexafluoropropan-2-ol",毕得,1000g,1000,g,1,22.75,running_out,dairongheng,
134523-03-8,阿托伐他汀钙,Atorvastatin Calcium,罗恩,10g,10,g,1,22.5,high_usage,douxiaodong,
39753-54-3,2-丁炔酰氯,,毕得,,,,1,22.5,not_stocked,zhaoxinyi,
23761-24-2,3-溴环丁烷酮,"
3-BroMocyclobutanot_stocked",毕得,1g,1,g,1,22.5,not_stocked,wangchen,
2041-15-8,"1,3,5-环己三醇(顺反异构体混合物)",,aladdin/阿拉丁,5g,5,g,1,22.5,not_stocked,zhaobinzhi,
18523-48-3,,,TCI,,,,1,22.5,not_stocked,zhaoxinyi,
25109-86-8,2-(2-溴乙基)苯甲酸甲酯,2-(2-BroMoethyl)benzoic acid Methyl ester,macklin,1g,1,g,1,22.5,not_stocked,huotongyu,
151937-09-6,3-(4-(甲氧基羰基)苯基)丙酸 ,4-(2-Carboxyethyl)benzoic Acid Methyl Ester,毕得,5g,5,g,1,22.5,not_stocked,zhuminghui,
16799-08-9,3-甲基苯基乙基溴,3-methylphenethyl bromide,阿拉丁,5g,5,g,1,22.5,not_stocked,huotongyu,
14781-45-4,双(六氟乙基丙酮)化铜(II)水合物,Copper(II)Hexafluoroacetylacetonate,TCI,5G,5,g,1,22.5,running_out,zhaobinzhi,
528-29-0,,"1,2-Dinitrobenzene",百灵威,5g,5,g,1,22.5,running_out,qiuxu,
,国产球形C18硅胶柱,,渊仁信,,,,1,22.5,not_stocked,lichao,
19745-72-3,4-羟基-Α-氨基苯乙酮盐酸盐,4-hydroxy-alpha-aminoacetophenot_stocked,华威锐科,25g,25,g,1,22.5,not_stocked,huotongyu,
42196-31-6,三氟乙酸钯,Palladium(II) Trifluoroacetate,Sigma-Aldrich,1g,1,g,1,22.5,not_stocked,mengjunhong,
39065-95-7,4 - (氯二氟甲氧基)苯胺,,毕得,5g,5,g,1,22.5,running_out,xuguofeng,
1643-29-4,3-(4-碘苯基)丙酸, 3-(4-Iodophenyl)propanoic acid,毕得,10g,10,g,1,22.5,running_out,zhuminghui,
130723-54-5,2-(3-碘苯基)乙腈,2-(3-Iodophenyl)acetonitrile,,5g,5,g,1,22.5,running_out,zhangcaifang,
98-47-5,,3-NITROBENZENESULFONIC ACID,TCI,5g,5,g,1,22.5,running_out,lichao,
54231-35-5,,,,,,,1,22.5,not_stocked,admin,
54231-35-5,,,,,,,1,22.5,not_stocked,admin,
567-19-1,"3-氯-1,2-苯并异噻唑-1,1-二氧化物 ","3-Chlorobenzoisothiazole 1,1-Dioxide","毕得	",2g,2,g,1,22.5,not_stocked,zhuminghui,
102879-51-6,2-吡啶丁酸,4-(Pyridin-2-yl)butanoic acid,毕得,5g,5,g,1,22.5,not_stocked,zhuminghui,
14221-01-3,四(三苯基膦)钯,Tetrakis(triphenylphosphine)palladium,jk,5g,5,g,1,22.5,running_out,huotongyu,
14221-01-3,四(三苯基膦)钯(0),Tetrakis(triphenylphosphine)palladium(0),百灵威,5g,5,g,1,22.5,running_out,sulingyu,
1865-09-4,1H-苯并咪唑-2-羧酸乙酯;1H-苯并[D]咪唑-2-羧酸乙酯,1H-BENZOIMIDAZOLE-2-CARBOXYLIC ACID ETHYL ESTER,,5g,5,g,1,22.5,not_stocked,admin,
,反相硅胶C-18,,源叶,100g,100,g,1,22.5,not_stocked,chenlili,
541502-07-2,"(S)-2,2'-双(双(3,5-二叔丁基-4-甲氧基苯基)膦基)-1,1'-联萘","(S)-2,2'-Bis(bis(3,5-di-tert-butyl-4-methoxyphenyl)phosphino)-1,1'-binaphthalene
货号BD01380922",小辣椒,100ng,,,1,22.5,not_stocked,lvbin,
111324-04-0,磷腈碱P4-t-Bu 溶液,Phosphazene base P4-t-Bu,迈瑞达,1ml,1,mL,1,22.5,not_stocked,lichao,
3375-31-3,醋酸钯,Palladium(II) acetate,Sigma-Aldrich,1g,1,g,1,22.5,not_stocked,mengjunhong,
14221-01-3,四三苯基膦钯,Tetrakis(triphenylphosphine)palladium(0),Sigma-Aldrich,5g,5,g,1,22.5,not_stocked,mengjunhong,
149990-27-2,N-BOC-3-丁炔-1-胺,tert-Butyl but-3-yn-1-ylcarbamate,毕得,5g,5,g,1,22.5,not_stocked,xuguofeng,
12354-85-7,"	二氯(五甲基环戊二烯基)合铑(III)二聚体",Bis[(pentamethylcyclopentadienyl)dichloro-rhodium],TCI,200 mg,200,mg,1,22.5,not_stocked,chengzengrui,
850449-93-3,2-(-氨基-2-甲基苯基)乙酸甲酯,"	Methyl2-(5-amino-2-methylphenyl)acetate","毕得	",1g,1,g,1,22.5,not_stocked,zhangziyao,
25702-80-1,聚氯乙烯,"Poly(vinyl chloride), carboxylated, aver. M.W.220000, aver. carboxyl content 1.8 wt%",Acros,100g,100,g,1,22.5,not_stocked,zhaobinzhi,
68378-96-1,亚硝酸钠-<<15>>N ,Sodium nitrite -<<15>>N,伊诺凯,1g,1,g,1,22.5,not_stocked,zhuminghui,
87941-55-7,4-溴-1-三苯甲基-1H-咪唑,"	4-BROMO-1-TRITYL-1H-IMIDAZOLE",奇松生物,5g,5,g,1,22.5,not_stocked,huotongyu,
135139-00-3,"(S)-2,2'-双[二(3,5-二甲基苯基膦)]-1,1'-联萘","(S)-2,2'-Bis(bis(3,5-dimethylphenyl)phosphino)-1,1'-binaphthalene",毕得,5g,5,g,1,22.5,running_out,lvbin,
135139-00-3,"(S)-联萘(3,5-二甲苯基)膦","	(S)-(-)-XylBINAP",,5g,5,g,1,22.5,running_out,lvbin,
,国产球形C18硅胶柱，SW-8222-004-SP,,三泰科技,4g,4,g,1,22.5,not_stocked,xuguofeng,
1634-04-4,甲基叔丁基醚,tert-Butyl methyl ether,通广,500 mL,500,mL,1,22.5,running_out,xuguofeng,
781-73-7,2-乙酰芴,2-Acetylfluorene,"
毕得医药","
5g",5,g,1,22.5,running_out,tanhui,
1975/5/8,乙腈 ,Acetonitrile,通过,2500 mL,2500,mL,1,22.5,not_stocked,xuguofeng,
67-63-0,异丙醇,Isopropyl alcohol,通广,500mL,500,mL,1,22.5,running_out,xuguofeng,
123-86-4,乙酸丁酯,Butyl acetate,Greagent,500 mL X 10,500,ml,10,22.5,running_out,zhaobinzhi,
75-65-0,叔丁醇,tert-butyl alcohol,通广,500mL,500,mL,1,22.5,running_out,xuguofeng,
16870-28-3,2-羟基-4-碘苯甲酸,2-HYDROXY-4-IODOBENZOIC ACID,毕得,113.25,,,1,22.5,not_stocked,xuguofeng,
,棕色塑料试剂瓶/避光样品瓶-30mL,,"	纳纯（上海）生物科技有限公司",30 mL,30,mL,1,22.5,not_stocked,xuguofeng,
78-93-3,甲基乙基酮,methyl ethyl ketone,通广,500mL,500,mL,1,22.5,not_stocked,xuguofeng,
91053-39-3,硅藻土,Kieselguhr,通广,250g,250,g,1,22,not_stocked,xuguofeng,
82998-57-0,3-碘-4-甲基苯甲酸,3-Iodo-4-methylbenzoic acid,毕得,1g,1,g,1,22,not_stocked,xuguofeng,
2622-14-2,三环己基膦,,3A,1g,1,g,1,22,running_out,xuguofeng,
1975/5/8,乙腈，HPLC级,Acetonitrile HPLC,通广精细,4L,4,L,1,22,running_out,xuguofeng,
2622-14-2,三环己基膦,,安耐吉,1g,1,g,1,22,not_stocked,xuguofeng,
2232/12/4,"1,3-二碘-5,5-二甲基乙内酰脲","1,3-Diiodo-5,5-dimethylhydantoin",毕得,1g,1,g,1,22,running_out,chenlei,
571-57-3,4-溴萘酚 ,4-Bromonaphthalen-1-ol,"毕得	",1,,,1,22,not_stocked,chenlei,
,磨口塑料夹,,欣维尔,24/40,,,1,21.75,not_stocked,zhangziyao,
7480-35-5,1-氨基-2-茚醇(顺式对映体),1-AMINO-2-HYDROXYINDANE,九鼎,91.8,,,1,18.75,not_stocked,chengzengrui,
,塑料洗瓶,,赛谱锐思,500ml,500,mL,1,18.75,not_stocked,zhangziyao,
703-59-3,高酞酸酐 ,Homophthalic anhydride,欣恒研,1 g,1,g,1,18,running_out,tanhui,
534-17-8,碳酸铯,Cesium carbonate,Amethyst,25G,25,g,1,18,running_out,tanhui,
67-56-1,甲醇,,通广精细,AR500mL,,,1,18,running_out,zhaoxinyi,
,陶素生化订购的第一批类似物共35个,,陶素生化,3-5 mg,,,1,17,not_stocked,xuyue,
13679-75-9,1-(2-噻吩基)-1-丙酮,1-(2-Thienyl)-1-propanot_stocked,百灵威,5g,5,g,1,16,running_out,tanhui,
15124-09-1,无水硫酸钠,SODIUM SULFATE,通广,500 g,500,g,1,14,running_out,xuguofeng,
1336-21-6,氨水,,通广,500mL,500,mL,1,13.2,running_out,xuguofeng,
771-61-9,五氟苯酚,"Pentafluorophenol,",Amethyst,5 g,5,g,1,9.5,running_out,tanhui,
7440-50-8,活性铜粉,,,,,,1,,not_stocked,zhanghongliang,
7440-50-8,四甲基胍 (TMG),,,,,,1,,not_stocked,zhanghongliang,
1122-41-4,"	2,4-二氯苯硫酚","2,4-Dichlorobenzenethiol",毕得,1g,1,g,1,,running_out,wangbingding,
7250-55-7,3-羟基戊二酸二甲酯,Dimethyl3-hydroxypentanedioate,"毕得	",5G,5,g,1,,not_stocked,zhaobinzhi,
,研钵,,爱特蒙,50mm(申玻),,,1,,not_stocked,chenlei,
,,,,,,,1,,not_stocked,admin,
104-15-4,对甲苯磺酸 ,p-Toluenesulfonic acid,伊诺凯,25g,25,g,1,132,running_out,zhuminghui,
51285-26-8,2-脒基吡啶盐酸盐,Pyridine-2-carboximidamide hydrochloride,毕得,5g,5,g,1,89.25,not_stocked,lichao,
21324-39-0,六氟磷酸钠,"	Sodium hexafluorophosphate",ACMEC,25 g,25,g,1,127.8,not_stocked,chenlei,
14283-07-9,四氟硼酸锂,Lithium tetrafluoroborate,毕得,25 g,25,g,1,78.75,running_out,chenlei,
142-71-2,无水醋酸铜, Cupric acetate anhydrous,"	Amethyst",25g,25,g,1,45.9,running_out,chenlei,
13826-83-0,四氟硼酸铵,Ammonium tetrafluoroborate,毕得,25 g,25,g,1,22.5,running_out,chenlei,
1975/5/8,乙腈,Acetonitrile,通广,500 mL * 4,500,ml,4,132,running_out,zhangcaifang,
148546-99-0,3-(4-甲基哌嗪-1-基)苯胺,3-(4-Methylpiperazin-1-yl)aniline,毕得,1 g,1,g,1,44.25,running_out,zhangcaifang,
109-66-0,,,通广,500ml,500,mL,1,16,not_found,zhangziyao,
153-94-6,D-色氨酸,,毕得,5g,5,g,1,22,not_stocked,zhaoxinyi,
7524-52-9,L-色氨酸甲酯盐酸盐,Methyl L-tryptophanate hydrochloride,毕得,1g,1,g,1,18,not_stocked,zhaoxinyi,
58438-03-2,L-3-(2-萘基)-丙氨酸,3-(2-Naphthyl)-L-alanine,毕得,1g,1,g,1,74,running_out,zhaoxinyi,
64090-98-8,3-(3-吡啶基)-L-丙氨酸,L-3-Pyridylalanine,毕得,1g,1,g,1,254,not_stocked,zhaoxinyi,
868-59-7,L-半胱氨酸乙酯,L-Cysteine ethyl ester hydrochloride,毕得,5g,5,g,1,22,not_stocked,zhaoxinyi,
445-27-2,2'-氟苯乙酮,2'-Fluoroacetophenot_stocked,毕得 ,100g,100,g,1,81,running_out,huotongyu,
623-51-8,巯基乙酸乙酯,ETHYL THIOGLYCOLATE,jk,100g,100,g,1,245,running_out,huotongyu,
93777-26-5,5-溴-2-氟苯甲醛,5-Bromo-2-fluorobenzaldehyde,毕得,100g,100,g,1,130,running_out,huotongyu,
110-54-3,正己烷,,通广,2500ml,2500,mL,1,70,running_out,zhangziyao,
10210-68-1,八羰基二钴,,百灵威,25G,25,g,1,1399.95,running_out,zhangziyao,
92-67-1,4-氨基联苯,"	4-Aminobiphenyl",Amethyst,5 g,5,g,1,85,running_out,chenlei,
67-56-1,"甲醇, HPLC",MeOH,通广,2500mL X 4,2500,ml,4,50,not_stocked,xuguofeng,
547-75-1,猪胆酸,HYOCHOLIC ACID,麦克林,5g,5,g,1,113,running_out,zhaoxinyi,
83-49-8,猪去氧胆酸,,欣恒研,5g,5,g,1,27,running_out,zhaoxinyi,
122-59-8,苯氧乙酸,2-Phenoxyacetic acid,毕得,100g,100,g,1,34.5,not_found,mengjunhong,
6440-58-0,"1,3-二羟甲基-5,5-二甲基海因","1,3-bis(hydroxymethyl)-5,5-dimethylimidazolidine-2,4-dione",安耐吉,5g,5,g,1,111.6,not_stocked,zhanghongliang,
459789-99-2,奥贝胆酸,,阿拉丁,1g,1,g,1,345,not_stocked,zhaoxinyi,
631-22-1,二溴丙二酸二乙酯,DIETHYL DIBROMOMALONATE,毕得,5g,5,g,1,75,not_stocked,lichao,
46181-30-0,2-苯基-6-甲基吡啶,"	2-METHYL-6-PHENYLPYRIDINE",毕得,1g,1,g,1,628.5,not_stocked,lichao,
57486-69-8,2-(2-溴苯基)乙酸甲酯,METHYL 2-(2-BROMOPHENYL)ACETATE,毕得,10g,10,g,1,107.25,not_stocked,chengzengrui,
38227-87-1,四甲基哌啶锂,LITHIUM TETRAMETHYLPIPERIDIDE,罗恩,1g,1,g,1,126.96,running_out,chengzengrui,
83-46-5,顺式-3-己烯-1-醇,Leaf alcohol,百灵威,5ml,5,mL,1,34,not_stocked,wangchen,
112-90-3,,Oleylamine,百灵威,25ml,25,mL,1,45,not_stocked,wangchen,
928-95-0,反式-2-己烯-1-醇,trans-2-Hexen-1-ol,百灵威,25ml,25,mL,1,182.75,not_stocked,wangchen,
488-10-8,顺式-茉莉酮,Jasmone,百灵威,5g,5,g,1,129,not_stocked,wangchen,
111-66-0,,1-OCTENE,百灵威,100ml,100,mL,1,64,not_stocked,wangchen,
145-13-1,孕烯醇酮,Pregnenolone,百灵威,5g,5,g,1,150,not_stocked,wangchen,
514-10-3,,ABIETIC ACID,百灵威,25g,25,g,1,218,not_stocked,wangchen,
7087-68-5,"N,N-二异丙基乙胺",,虹湖联合,100mL,100,mL,1,42.5,running_out,xuguofeng,
39065-95-7,4-(氯二氟甲氧基)苯胺,4-(Chlorodifluoromethoxy)aniline,毕得,1g,1,g,1,140.25,running_out,xuguofeng,
144-55-8,碳酸氢钠,Sodium bicarbonate,毕得,1000g,1000,g,1,42,running_out,xuguofeng,
1643-26-1,3-(2-氟苯基)丙酸,,毕得,1g,1,g,1,33,not_stocked,xuguofeng,
458-45-7,3-(3氟苯基)丙酸,,毕得,1g,1,g,1,39,not_stocked,xuguofeng,
459-31-4,3-(4-氟苯基)丙酸,,毕得,1g,1,g,1,27,not_stocked,xuguofeng,
1643-28-3,3-(2-氯苯基)丙酸,,毕得,1g,1,g,1,33,not_stocked,xuguofeng,
55144-92-8,"3-(2,4-二氯苯基)丙酸",,毕得,1g,1,g,1,87,not_stocked,xuguofeng,
2019-34-3,3-(4-氯苯基)丙酸,,毕得,1g,1,g,1,22.5,not_stocked,xuguofeng,
21640-48-2,3-(3-氯苯基)丙酸,,毕得,1g,1,g,1,27,not_stocked,xuguofeng,
6342-77-4,3-(2-甲氧基苯基）丙酸,,毕得,1g,1,g,1,32.25,not_stocked,xuguofeng,
1929-29-9,3-(4-甲氧基苯基)丙酸,,毕得,5g,5,g,1,22.5,not_found,xuguofeng,
2107-70-2,"3,4-二甲氧基苯丙酸",,毕得,5g,5,g,1,22.5,not_stocked,xuguofeng,
10516-71-9,3-(3-甲氧基苯基)丙酸,,毕得,1g,1,g,1,42.75,running_out,xuguofeng,
92-67-1,4-氨基联苯,"	4-Aminobiphenyl",阿拉丁,25 g,25,g,1,238.85,running_out,chenlei,
