cas_number,name,english_name,brand,specification,initial_quantity,unit,quantity,price,order_reason,applicant,order_time
30766-03-1,4-溴吡啶-2-羧酸,4-Bromopyridine-2-carboxylic acid,毕得,1g,1,g,1,792,not_stocked,xuguofeng,
2537-48-6,氰甲基膦酸二乙酯 ,Diethyl (cyanomethyl)phosphonate,"	毕得",5g,5,g,1,699,running_out,xuyue,
22115-41-9,2-氰基溴苄, 2-Cyanobenzyl bromide,"	毕得",5g,5,g,1,690,running_out,xuyue,
6011-14-9,氨基乙腈盐酸盐,2-Aminoacetonitrile hydrochloride,"	毕得",25g,25,g,1,690,not_stocked,xuyue,
7745-93-9,2-溴-4-硝基甲苯 ,2-Bromo-4-nitrotoluene,"	毕得",5g,5,g,1,684,running_out,xuyue,
102229-10-7,"	叔丁基二甲基硅氧基乙醇","	2-((tert-Butyldimethylsilyl)oxy)ethanol",毕得医药,5g,5,g,1,682.5,not_stocked,gengshihan,
2396-68-1,4-叔丁基苯硫酚,4-tert-Butylbenzenethiol,毕得,1g,1,g,1,666,running_out,wangbingding,
3360-41-6,4-苯基丁醇,4-Phenylbutan-1-ol,毕得,5g,5,g,1,666,running_out,dairongheng,
39515-51-0,间苯氧基苯甲醛,,毕得,5g,5,g,1,663.68,not_stocked,xuguofeng,
7447-40-7,氯化钾 ,KCl,毕得,500g,500,g,1,663,running_out,xuguofeng,
637-07-0,"	2-(4-氯苯氧基)-2-甲基丙酸乙酯",Ethyl 2-(4-chlorophenoxy)-2-methylpropanoate,毕得,1g,1,g,1,643.5,running_out,gengshihan,
1754-62-7,反式-肉桂酸甲酯,Methyl (E)-cinnamate,J&K,25G,25,g,1,638,running_out,chengzengrui,
927-74-2,3-丁炔-1-醇,,毕得,5g,5,g,1,636,not_found,xuguofeng,
1459-93-4,"	间苯二甲酸二甲酯","	Dimethyl isophthalate","	毕得",100g,100,g,1,621,running_out,dairongheng,
131-11-3,"	邻苯二甲酸二甲酯","	Dimethyl phthalate","	毕得",100g,100,g,1,606,running_out,dairongheng,
3900-89-8,2-氯苯硼酸,2-Chlorophenylboronic acid,"毕得	",1g,1,g,1,604,not_stocked,mengjunhong,
7803-58-9,磺酰胺,Sulfuric diamide,"毕得	",10g,10,g,1,600,not_stocked,mengjunhong,
2446-83-5,"二异丙基偶氮-1,2-二羧酸酯 ","Diisopropyl diazene-1,2-dicarboxylate",毕得,25g,25,g,1,599,running_out,zhuminghui,
70-55-3,对甲苯磺酰胺,4-Methylbenzenesulfonamide,"毕得	",100g,100,g,1,594,not_stocked,wanghongye,
100-51-6,苯甲醇,"	Phenylmethanol","	毕得医药",100g,100,g,1,589,degraded,gengshihan,
14371-10-9,反式肉桂醛,trans-Cinnamaldehyde,"毕得	",25g,25,g,1,573,degraded,zhaobinzhi,
693-13-0,"N,N'-二异丙基碳二亚胺","	N,N'-Methanediylidenebis(propan-2-amine)",毕得医药,25g,25,g,1,569.25,not_stocked,tanhui,
112-41-4,1-十二烯,Dodec-1-ene,毕得,10g,10,g,1,558.75,degraded,admin,
1070-83-3,"3,3-二甲基丁酸","3,3-Dimethylbutyric acid",毕得,10g,10,g,1,557.25,not_stocked,lvbin,
148546-99-0,3-(4-甲基哌嗪-1-基)苯胺,3-(4-Methylpiperazin-1-yl)aniline,毕得,250mg,250,mg,1,557,not_stocked,xuguofeng,
100202-39-9,氮杂环丁烷-3-甲酸甲酯盐酸盐,Methyl azetidine-3-carboxylate hydrochloride,毕得,1g,1,g,1,543,not_stocked,wanghongye,
100-66-3,苯甲醚,Anisole,迈瑞达,100mL,100,mL,1,540.41,running_out,chenlei,
78-87-5,"1,2-二氯丙烷","1,2-Dichloropropane","
Aladdin",25g,25,g,1,533.6,not_stocked,chenlei,
100-66-3,苯甲醚,Anisole,阿拉丁,100mL,100,mL,1,528,running_out,chenlei,
7446-70-0,三氯化铝,Aluminum chloride,虹湖联合,100g,100,g,1,524.04,degraded,xuguofeng,
108-53-2,异胞嘧啶,2-Aminopyrimidin-4(1H)-one,毕得,1g,1,g,1,521,not_stocked,zhanghongliang,
2705-87-5,环己基丙酸烯丙酯, Allyl 3-cyclohexylpropanoate,毕得,25g,25,g,1,515.72,not_stocked,admin,
108-95-2,苯酚,Phenol,阿拉丁,100 g,100,g,1,478,running_out,chenlei,
